;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
108;Mediterranean;Neoschischkinia truncatula;0.58;Poaceae;240821-07;24/08/2021;Fellfield;100;96;96;93;96.88;96.88;96.88;0;0;6.795454545;82.625
109;Mediterranean;Neoschischkinia truncatula;0.58;Poaceae;240821-07;24/08/2021;Snowbed;100;91;91;84;92.31;92.31;92.31;0;0;7.444862155;65.5
110;Mediterranean;Neoschischkinia truncatula;0.58;Poaceae;250821-03;25/08/2021;Fellfield;100;85;85;78;91.76;90.59;90.59;0;1.18;6.81910659;84.25
111;Mediterranean;Neoschischkinia truncatula;0.58;Poaceae;250821-03;25/08/2021;Snowbed;97;83;85.57;73;87.95;86.75;86.75;0;1.2;10.13723776;86.125
112;Temperate;Pedicularis pyrenaica;0.09;Orobanchaceae;130921-04;13/09/2021;Fellfield;100;42;42;22;52.38;0;0;52.38;0;203.6666667;378.3333333
113;Temperate;Pedicularis pyrenaica;0.09;Orobanchaceae;130921-04;13/09/2021;Snowbed;100;58;58;24;41.38;0;0;0;5.17;249.45;334
114;Temperate;Pedicularis pyrenaica;0.09;Orobanchaceae;310821-04;31/08/2021;Fellfield;100;77;77;23;29.87;0;0;29.87;0;NA;NA
115;Temperate;Pedicularis pyrenaica;0.09;Orobanchaceae;310821-04;31/08/2021;Snowbed;100;90;90;21;23.33;0;0;0;1.11;NA;NA
116;Mediterranean;Phalacrocarpum oppositifolium;0.71;Asteraceae;110821-02;11/08/2021;Fellfield;100;69;69;68;98.55;94.2;94.2;4.35;0;31.27586806;381.625
117;Mediterranean;Phalacrocarpum oppositifolium;0.71;Asteraceae;110821-02;11/08/2021;Snowbed;100;61;61;61;100;90.16;90.16;0;0;29.28945313;240.625
118;Mediterranean;Phalacrocarpum oppositifolium;0.71;Asteraceae;120821-05;12/08/2021;Fellfield;24;7;29.17;6;85.71;71.43;71.43;0;0;49.27604167;521.75
119;Mediterranean;Phalacrocarpum oppositifolium;0.71;Asteraceae;120821-05;12/08/2021;Snowbed;24;17;70.83;17;100;64.71;64.71;0;0;134.9196429;316.5
120;Mediterranean;Phyteuma hemisphaericum;0.21;Campanulaceae;240821-10;24/08/2021;Fellfield;99;77;77.78;18;23.38;1.3;1.3;20.78;1.3;NA;NA
121;Mediterranean;Phyteuma hemisphaericum;0.21;Campanulaceae;240821-10;24/08/2021;Snowbed;93;74;79.57;31;41.89;1.35;1.35;20.27;13.51;284.5;547
122;Mediterranean;Phyteuma hemisphaericum;0.21;Campanulaceae;250821-07;25/08/2021;Fellfield;100;83;83;33;39.76;0;0;37.35;2.41;NA;NA
123;Mediterranean;Phyteuma hemisphaericum;0.21;Campanulaceae;250821-07;25/08/2021;Snowbed;99;89;89.9;24;26.97;0;0;21.35;4.49;NA;NA
124;Temperate;Phyteuma orbiculare;0.19;Campanulaceae;300921-02;30/09/2021;Fellfield;51;35;68.63;7;20;0;0;20;0;NA;NA
125;Temperate;Phyteuma orbiculare;0.19;Campanulaceae;300921-02;30/09/2021;Snowbed;47;28;59.57;10;35.71;0;0;10.71;7.14;NA;NA
126;Temperate;Plantago alpina;1.27;Plantaginaceae;130921-08;13/09/2021;Fellfield;60;54;90;54;100;12.96;12.96;87.04;0;194.6111111;300.5
127;Temperate;Plantago alpina;1.27;Plantaginaceae;130921-08;13/09/2021;Snowbed;60;46;76.67;45;97.83;2.17;2.17;28.26;4.35;231.8416667;181.1666667
128;Temperate;Plantago alpina;1.27;Plantaginaceae;300821-15;30/08/2021;Fellfield;100;90;90;90;100;38.89;38.89;60;1.11;157.4490385;368.25
129;Temperate;Plantago alpina;1.27;Plantaginaceae;300821-15;30/08/2021;Snowbed;100;96;96;96;100;0;0;30.21;1.04;237.25;269.5
130;Mediterranean;Plantago holosteum;0.36;Plantaginaceae;240821-04;24/08/2021;Fellfield;100;100;100;100;100;100;100;0;0;7;93.5
131;Mediterranean;Plantago holosteum;0.36;Plantaginaceae;240821-04;24/08/2021;Snowbed;100;100;100;100;100;100;100;0;0;7;67.5
132;Mediterranean;Plantago holosteum;0.36;Plantaginaceae;250821-12;25/08/2021;Fellfield;100;100;100;99;99;93;93;6;0;9.159337945;106.625
133;Mediterranean;Plantago holosteum;0.36;Plantaginaceae;250821-12;25/08/2021;Snowbed;100;100;100;98;98;87;87;7;3;9.795578063;75.375
134;Temperate;Ranunculus carinthiacus;0.17;Ranunculaceae;310821-16;31/08/2021;Fellfield;15;15;100;4;26.67;0;0;26.67;0;NA;NA
135;Temperate;Ranunculus carinthiacus;0.17;Ranunculaceae;310821-16;31/08/2021;Snowbed;15;15;100;0;0;0;0;0;0;NA;NA
136;Temperate;Salix breviserrata;0.03;Salicaceae;140921-01;14/09/2021;Fellfield;5;5;100;0;0;0;0;0;0;NA;NA
137;Temperate;Salix breviserrata;0.03;Salicaceae;140921-01;14/09/2021;Snowbed;5;5;100;0;0;0;0;0;0;NA;NA
138;Temperate;Saxifraga conifera;0.81;Saxifragaceae;130921-09;13/09/2021;Fellfield;98;61;62.24;59;96.72;85.25;85.25;1.64;9.84;17.05026709;158.375
139;Temperate;Saxifraga conifera;0.81;Saxifragaceae;130921-09;13/09/2021;Snowbed;100;58;58;41;70.69;5.17;5.17;0;65.52;327.7;1274.833333
