accession;code;species;site;abundance;recolection;family;community;habitat;germ_strategy;Area_curves
230921-04;230921-04;Sempervivum arachnoideum;Solana;0.27;23/09/2021;Crassulaceae;Mediterranean;Not_specialist;Late_season;55.39626
230921-01;230921-01;Silene ciliata;Penauta;0.47;23/09/2021;Caryophyllaceae;Mediterranean;Specialist;Early_season;30.51937
230921-03;230921-03;Silene ciliata;Solana;0.47;23/09/2021;Caryophyllaceae;Mediterranean;Specialist;Early_season;30.51937
240821-08;240821-08;Solidago virgaurea;Rabinalto;0.02;24/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;135.7171
240821-08;240821-08b;Solidago virgaurea;Rabinalto;0.02;24/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;135.7171
250821-13;250821-13;Solidago virgaurea;Penauta;0.02;25/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;135.7171
250821-13;250821-13b;Solidago virgaurea;Penauta;0.02;25/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;135.7171
150721-01;150721-01;Spergula morisonii;Cañada;0.02;15/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;-27.97822
150721-01;150721-01b;Spergula morisonii;Cañada;0.02;15/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;-27.97822
280721-01;280721-01;Spergula morisonii;Rabinalto;0.02;28/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;-27.97822
110821-05;110821-05;Thymus praecox;Solana;0.81;11/08/2021;Lamiaceae;Mediterranean;Not_specialist;Biphasic;63.58631
110821-05;110821-05b;Thymus praecox;Solana;0.81;11/08/2021;Lamiaceae;Mediterranean;Not_specialist;Biphasic;63.58631
120821-06;120821-06;Thymus praecox;Rabinalto;0.81;12/08/2021;Lamiaceae;Mediterranean;Not_specialist;Biphasic;63.58631
120821-06;120821-06b;Thymus praecox;Rabinalto;0.81;12/08/2021;Lamiaceae;Mediterranean;Not_specialist;Biphasic;63.58631
300821-03;300821-03;Androsace villosa;Hoyo sin Tierra;0.85;30/08/2021;Primulaceae;Temperate;Specialist;Sporadic_low;
310821-11;310821-11;Androsace villosa;Cazadores;0.85;31/08/2021;Primulaceae;Temperate;Specialist;Sporadic_low;
300821-04;300821-04;Anthyllis vulneraria;Hoyo sin Tierra;2.71;30/08/2021;Fabaceae;Temperate;Not_specialist;Biphasic;
300821-04;300821-04b;Anthyllis vulneraria;Hoyo sin Tierra;2.71;30/08/2021;Fabaceae;Temperate;Not_specialist;Biphasic;
310821-12;310821-12;Anthyllis vulneraria;Cazadores;2.71;31/08/2021;Fabaceae;Temperate;Not_specialist;Biphasic;
310821-12;310821-12b;Anthyllis vulneraria;Cazadores;2.71;31/08/2021;Fabaceae;Temperate;Not_specialist;Biphasic;
300821-08;300821-08;Arenaria erinacea;Hoyo sin Tierra;0.16;30/08/2021;Caryophyllaceae;Temperate;Specialist;Autumn;69.1048
140921-02;140921-02;Arenaria moehringioides;Boches;0.04;14/09/2021;Caryophyllaceae;Temperate;Specialist;Early_season;30.75812
130921-15;130921-15;Armeria cantabrica;Hou sin Tierri;1.37;13/09/2021;Plumbaginaceae;Temperate;Specialist;Late_season;30.88229
140921-07;140921-07;Armeria cantabrica;Boches;1.37;14/09/2021;Plumbaginaceae;Temperate;Specialist;Late_season;30.88229
130921-02;130921-02;Carex sempervirens;Hou sin Tierri;5.44;13/09/2021;Cyperaceae;Temperate;Specialist;Late_season;37.60237
310821-13;310821-13;Carex sempervirens;Cazadores;5.44;31/08/2021;Cyperaceae;Temperate;Specialist;Late_season;37.60237
310821-07;310821-07;Dethawia splendens;Cazadores;0.18;31/08/2021;Apiaceae;Temperate;Specialist;Early_season;11.81382
310821-15;310821-15;Erigeron alpinus;Cazadores;0.04;31/08/2021;Asteraceae;Temperate;Specialist;Late_season;43.78209
011021-01;011021-01;Euphrasia salisburgensis;Hou sin Tierri;0.04;01/10/2021;Orobanchaceae;Temperate;Specialist;Sporadic_low;
300921-01;300921-01;Euphrasia salisburgensis;Cazadores;0.04;30/09/2021;Orobanchaceae;Temperate;Specialist;Sporadic_low;
130921-16;130921-16;Festuca hystrix;Hou sin Tierri;0.43;13/09/2021;Poaceae;Temperate;Not_specialist;Biphasic;83.16848
300821-01;300821-01;Festuca hystrix;Hoyo sin Tierra;0.43;30/08/2021;Poaceae;Temperate;Not_specialist;Biphasic;83.16848
310821-02;310821-02;Festuca rubra;Cazadores;2.12;31/08/2021;Poaceae;Temperate;Not_specialist;Late_season;
130921-06;130921-06;Gentiana verna;Hou sin Tierri;0.1;13/09/2021;Gentianaceae;Temperate;Specialist;Early_season;1.212687
140921-06;140921-06;Gentiana verna;Boches;0.1;14/09/2021;Gentianaceae;Temperate;Specialist;Early_season;1.212687
300921-03;300921-03;Gentianella campestris;Cazadores;0.01;30/09/2021;Gentianaceae;Temperate;Not_specialist;Sporadic_low;
300821-10;300821-10;Gypsophila repens;Hoyo sin Tierra;0.32;30/08/2021;Caryophyllaceae;Temperate;Not_specialist;Early_season;75.36499
310821-08;310821-08;Gypsophila repens;Cazadores;0.32;31/08/2021;Caryophyllaceae;Temperate;Not_specialist;Early_season;75.36499
300821-05;300821-05;Helianthemum canum;Hoyo sin Tierra;2.29;30/08/2021;Cistaceae;Temperate;Not_specialist;Biphasic;29.81871
310821-05;310821-05;Helianthemum canum;Cazadores;2.29;31/08/2021;Cistaceae;Temperate;Not_specialist;Biphasic;29.81871
130921-05;130921-05;Helianthemum urrielense;Hou sin Tierri;2.48;13/09/2021;Cistaceae;Temperate;Not_specialist;Autumn;12.33412
130921-05;130921-05b;Helianthemum urrielense;Hou sin Tierri;2.48;13/09/2021;Cistaceae;Temperate;Not_specialist;Autumn;12.33412
140921-04;140921-04;Helianthemum urrielense;Boches;2.48;14/09/2021;Cistaceae;Temperate;Not_specialist;Autumn;12.33412
140921-04;140921-04b;Helianthemum urrielense;Boches;2.48;14/09/2021;Cistaceae;Temperate;Not_specialist;Autumn;12.33412
300821-09;300821-09;Helictotrichon sedenense;Hoyo sin Tierra;1.04;30/08/2021;Poaceae;Temperate;Specialist;Early_season;22.97535
130921-12;130921-12;Iberis carnosa;Hou sin Tierri;0.09;13/09/2021;Brassicaceae;Temperate;Not_specialist;Biphasic;138.2313
130921-12;130921-12b;Iberis carnosa;Hou sin Tierri;0.09;13/09/2021;Brassicaceae;Temperate;Not_specialist;Biphasic;138.2313
130921-14;130921-14;Jasione cavanillesii;Hou sin Tierri;0.04;13/09/2021;Campanulaceae;Temperate;Specialist;Late_season;14.03666
140921-05;140921-05;Jasione cavanillesii;Boches;0.04;14/09/2021;Campanulaceae;Temperate;Specialist;Late_season;14.03666
310821-01;310821-01;Jurinea humilis;Cazadores;0.27;31/08/2021;Asteraceae;Temperate;Not_specialist;Biphasic;46.28999
310821-01;310821-01b;Jurinea humilis;Cazadores;0.27;31/08/2021;Asteraceae;Temperate;Not_specialist;Biphasic;46.28999
130921-03;130921-03;Kobresia myosuroides;Hou sin Tierri;0.01;13/09/2021;Cyperaceae;Temperate;Specialist;Sporadic_low;
130921-03;130921-03b;Kobresia myosuroides;Hou sin Tierri;0.01;13/09/2021;Cyperaceae;Temperate;Specialist;Sporadic_low;
300821-02;300821-02;Koeleria vallesiana;Hoyo sin Tierra;1.76;30/08/2021;Poaceae;Temperate;Specialist;Biphasic;58.74179
300821-02;300821-02b;Koeleria vallesiana;Hoyo sin Tierra;1.76;30/08/2021;Poaceae;Temperate;Specialist;Biphasic;58.74179
310821-09;310821-09;Koeleria vallesiana;Cazadores;1.76;31/08/2021;Poaceae;Temperate;Specialist;Biphasic;58.74179
310821-09;310821-09b;Koeleria vallesiana;Cazadores;1.76;31/08/2021;Poaceae;Temperate;Specialist;Biphasic;58.74179
310821-10;310821-10;Minuartia CF;Cazadores;;31/08/2021;Caryophyllaceae;Temperate;Specialist;Biphasic;97.22416
300821-06;300821-06;Minuartia verna;Hoyo sin Tierra;0.26;30/08/2021;Caryophyllaceae;Temperate;Specialist;Biphasic;112.4645
