species;community;incubator;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Jurinea humilis;Mediterranean;Fellfield;101;103;47.89272727;98.93090909;0.27184466;0.669902913;0.006503912;0;69.16644385;133.2272727;268.4615385;Asteraceae;Not_specialist;Biphasic
Jurinea humilis;Mediterranean;Snowbed;61;61;48.61125;100;0;0.950819672;0.015587208;0.704918033;220.6552734;261.8125;268.4615385;Asteraceae;Not_specialist;Biphasic
Jurinea humilis;Temperate;Fellfield;22;22;39.7775;100;0.136363636;0.863636364;0.039256198;0;145.6833333;240.875;NA;Asteraceae;Not_specialist;Biphasic
Jurinea humilis;Temperate;Snowbed;48;48;42.34333333;100;0;0.979166667;0.020399306;0.916666667;204.5224206;202.1666667;NA;Asteraceae;Not_specialist;Biphasic
Kobresia myosuroides;Temperate;Fellfield;0;84;56;0;0;0;0;0;NA;NA;41.3;Cyperaceae;Specialist;Sporadic_low
Kobresia myosuroides;Temperate;Snowbed;0;73;48.66666667;0;0;0;0;0;NA;NA;41.3;Cyperaceae;Specialist;Sporadic_low
Koeleria vallesiana;Temperate;Fellfield;234;238;79.54166667;98.57916667;0.617647059;0.344537815;0.001447638;0.25210084;48.89628906;106.2916667;32.8;Poaceae;Specialist;Biphasic
Koeleria vallesiana;Temperate;Snowbed;203;208;69.90333333;97.99166667;0.466346154;0.331730769;0.001594859;0.3125;80.35306141;157.3333333;32.8;Poaceae;Specialist;Biphasic
Luzula caespitosa;Mediterranean;Fellfield;105;154;51.33333333;78.9675;0.220779221;0.37012987;0.002403441;0.012987013;129.0914363;495.7272727;97.71071429;Juncaceae;Specialist;Biphasic
Luzula caespitosa;Mediterranean;Snowbed;157;166;55.33333333;94.91;0;0.927710843;0.00558862;0.903614458;205.7397722;316.8333333;97.71071429;Juncaceae;Specialist;Biphasic
Minuartia arctica;Temperate;Fellfield;44;99;99;44.5825;0.252525253;0.141414141;0.001428426;0;227;538;4.577;Caryophyllaceae;Specialist;Biphasic
