species;accession;code;incubator;petridish;mgr;syn
Cerastium ramosissimum;150721-05;150721-05;Snowbed;3;0.014285714;1
Cerastium ramosissimum;150721-05;150721-05;Snowbed;4;0.018018018;0.4
Cerastium ramosissimum;280721-02;280721-02;Fellfield;1;0.015936255;0.6052632
Cerastium ramosissimum;280721-02;280721-02;Fellfield;2;0.014448669;0.4736842
Cerastium ramosissimum;280721-02;280721-02;Fellfield;3;0.018888889;0.4852941
Cerastium ramosissimum;280721-02;280721-02;Fellfield;4;0.014622258;0.8888889
Cerastium ramosissimum;280721-02;280721-02;Snowbed;1;0.017745303;0.4705882
Cerastium ramosissimum;280721-02;280721-02;Snowbed;2;0.017559263;0.4789474
Cerastium ramosissimum;280721-02;280721-02;Snowbed;3;0.018018018;0.4736842
Cerastium ramosissimum;280721-02;280721-02;Snowbed;4;0.016574586;0.5294118
Cerastium ramosissimum;280721-02;280721-02b;Fellfield;5;0.009708738;1
Cerastium ramosissimum;280721-02;280721-02b;Fellfield;6;0.009708738;1
Cerastium ramosissimum;280721-02;280721-02b;Snowbed;5;0.009708738;1
Cerastium ramosissimum;280721-02;280721-02b;Snowbed;6;0.009708738;1
Conopodium majus;240821-03;240821-03;Fellfield;1;0.004574565;0.2
Conopodium majus;240821-03;240821-03;Fellfield;2;0.004569688;0.2666667
Conopodium majus;240821-03;240821-03;Fellfield;3;0.004643963;0.6818182
Conopodium majus;240821-03;240821-03;Fellfield;4;0.004656577;0.5
Conopodium majus;240821-03;240821-03;Snowbed;1;0.004115226;1
Conopodium majus;240821-03;240821-03;Snowbed;2;0.004115226;1
Conopodium majus;240821-03;240821-03;Snowbed;3;0.004115226;1
Conopodium majus;240821-03;240821-03;Snowbed;4;0.004067245;0.8666667
Conopodium majus;240821-03;240821-03b;Fellfield;5;0.004626248;0.4444444
Conopodium majus;240821-03;240821-03b;Fellfield;6;0.004781257;0.4894737
Conopodium majus;240821-03;240821-03b;Snowbed;5;0.004098361;1
Conopodium majus;240821-03;240821-03b;Snowbed;6;0.004098361;1
Conopodium majus;250821-04;250821-04;Fellfield;1;0.004694836;1
Conopodium majus;250821-04;250821-04;Fellfield;2;0.004694836;1
Conopodium majus;250821-04;250821-04;Fellfield;3;0.004694836;1
Conopodium majus;250821-04;250821-04;Fellfield;4;0.004623334;0.7720588
Conopodium majus;250821-04;250821-04;Snowbed;1;0.004115226;1
Conopodium majus;250821-04;250821-04;Snowbed;2;0.004115226;1
Conopodium majus;250821-04;250821-04;Snowbed;3;0.004115226;1
Conopodium majus;250821-04;250821-04;Snowbed;4;0.004115226;1
Dethawia splendens;310821-07;310821-07;Fellfield;1;0.004380725;0.2909091
Dethawia splendens;310821-07;310821-07;Fellfield;2;0.004632153;0.1617647
Dethawia splendens;310821-07;310821-07;Fellfield;3;0.004705882;0.2967033
Dethawia splendens;310821-07;310821-07;Fellfield;4;0.004739336;0.1978022
Dethawia splendens;310821-07;310821-07;Snowbed;1;0.004344678;0.6969697
Dethawia splendens;310821-07;310821-07;Snowbed;2;0.004346372;0.7179487
Dethawia splendens;310821-07;310821-07;Snowbed;3;0.004357298;0.8571429
Dethawia splendens;310821-07;310821-07;Snowbed;4;0.004068348;0.1111111
Dianthus langeanus;110821-01;110821-01;Fellfield;1;0.039556962;0.47
Dianthus langeanus;110821-01;110821-01;Fellfield;2;0.119402985;0.9166667
Dianthus langeanus;110821-01;110821-01;Fellfield;3;0.139664804;0.92
