species;accession;code;incubator;petridish;total;viable;date;germinated
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;30/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;07/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;14/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;20/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;28/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;02/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;25;12;08/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;16/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;22/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;29/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;07/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;13/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;24;12;19/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;27/10/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;10/11/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;12/05/2022;1
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;19/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;26/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;02/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;09/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;16/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;23/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;30/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;07/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;14/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;20/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;28/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;02/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;08/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;16/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;22/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;29/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;07/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;13/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;25;20;19/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;27/10/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;10/11/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;12/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;19/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;26/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;02/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;09/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;16/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;23/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;30/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;07/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;14/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;20/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;28/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;02/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;08/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;16/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;22/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;29/08/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;07/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;13/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;25;19;19/09/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;27/10/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;10/11/2021;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;12/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;19/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;26/05/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;02/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;09/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;16/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;23/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;30/06/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;07/07/2022;0
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;25;22;14/07/2022;0
