species;community;family;accession;code;abundance;recolection;incubator;total_seeds;viable_seeds;viablePER;seeds_germ;germPER;autumn_germ ;spring_germ ;summer_germ ;winter_germ;t50;HS;MGT;Syn
Minuartia verna;Temperate;Caryophyllaceae;300821-06;300821-06;0.26;30/08/2021;Snowbed;100;95;95;12;12.63;8.42;1.05;3.16;0;NA;NA;0.00747;0.2
Neochischkinia truncatula;Mediterranean;Poaceae;240821-07;240821-07;0.58;24/08/2021;Fellfield;100;96;96;93;96.88;96.88;0;0;0;6.795454545;82.625;0.0757;0.978
Neochischkinia truncatula;Mediterranean;Poaceae;240821-07;240821-07;0.58;24/08/2021;Snowbed;100;91;91;84;92.31;92.31;0;0;0;7.444862155;65.5;0.0718;0.907
Neochischkinia truncatula;Mediterranean;Poaceae;240821-07;240821-07b;0.58;24/08/2021;Fellfield;50;50;100;41;82;76;6;0;6;13.18530702;83;0.0158;0.877
Neochischkinia truncatula;Mediterranean;Poaceae;240821-07;240821-07b;0.58;24/08/2021;Snowbed;50;48;96;18;37.5;14.58;22.92;0;20.83;NA;NA;0.00591;0.394
Neochischkinia truncatula;Mediterranean;Poaceae;250821-03;250821-03;0.58;25/08/2021;Fellfield;100;85;85;78;91.76;90.59;0;1.18;0;6.81910659;84.25;0.0648;0.931
Neochischkinia truncatula;Mediterranean;Poaceae;250821-03;250821-03;0.58;25/08/2021;Snowbed;97;83;85.57;73;87.95;86.75;0;1.2;0;10.13723776;86.125;0.0475;0.542
Neochischkinia truncatula;Mediterranean;Poaceae;250821-03;250821-03b;0.58;25/08/2021;Fellfield;50;48;96;17;35.42;35.42;0;0;0;NA;NA;0.0182;1
Neochischkinia truncatula;Mediterranean;Poaceae;250821-03;250821-03b;0.58;25/08/2021;Snowbed;50;43;86;3;6.98;2.33;2.33;2.33;0;NA;NA;0.00493;0
Pedicularis pyrenaica;Temperate;Orobanchaceae;130921-04;130921-04;0.09;13/09/2021;Fellfield;100;42;42;22;52.38;0;52.38;0;0;203.6666667;378.3333333;0.0048;0.363
Pedicularis pyrenaica;Temperate;Orobanchaceae;130921-04;130921-04;0.09;13/09/2021;Snowbed;100;58;58;24;41.38;0;36.21;5.17;36.21;249.45;334;0.00423;0.699
Pedicularis pyrenaica;Temperate;Orobanchaceae;310821-04;310821-04;0.09;31/08/2021;Fellfield;100;77;77;23;29.87;0;29.87;0;0;NA;NA;0.0046;0.257
Pedicularis pyrenaica;Temperate;Orobanchaceae;310821-04;310821-04;0.09;31/08/2021;Snowbed;100;90;90;21;23.33;0;22.22;1.11;22.22;NA;NA;0.00431;0.844
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;110821-02;110821-02;0.71;11/08/2021;Fellfield;100;69;69;68;98.55;94.2;4.35;0;0;31.27586806;381.625;0.0216;0.419
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;110821-02;110821-02;0.71;11/08/2021;Snowbed;100;61;61;61;100;90.16;9.84;0;9.84;29.28945313;240.625;0.0272;0.582
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;120821-05;120821-05;0.71;12/08/2021;Fellfield;24;7;29.17;6;85.71;71.43;14.29;0;14.29;49.27604167;521.75;0.15;0.167
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;120821-05;120821-05;0.71;12/08/2021;Snowbed;24;17;70.83;17;100;64.71;35.29;0;35.29;134.9196429;316.5;0.0097;0.411
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;240821-05;240821-05b;0.71;24/08/2021;Fellfield;25;23;92;18;78.26;17.39;52.17;8.7;30.43;183.5;164;0.00502;0.196
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;240821-05;240821-05b;0.71;24/08/2021;Snowbed;24;22;91.67;22;100;0;100;0;100;111.5208333;73;0.0041;1
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;250821-05;250821-05b;0.71;25/08/2021;Fellfield;50;35;70;20;57.14;0;57.14;0;22.86;172.2;120.5;0.00459;0.272
Phalacrocarpum oppositifolium;Mediterranean;Asteraceae;250821-05;250821-05b;0.71;25/08/2021;Snowbed;45;26;57.78;26;100;0;96.15;3.85;96.15;105.6581439;43;0.00406;0.917
Phyteuma hemisphaericum;Mediterranean;Campanulaceae;240821-10;240821-10;0.21;24/08/2021;Fellfield;99;77;77.78;18;23.38;1.3;20.78;1.3;0;NA;NA;0.00437;0.245
Phyteuma hemisphaericum;Mediterranean;Campanulaceae;240821-10;240821-10;0.21;24/08/2021;Snowbed;93;74;79.57;31;41.89;1.35;17.57;22.97;6.76;284.5;547;0.00377;0.204
Phyteuma hemisphaericum;Mediterranean;Campanulaceae;250821-07;250821-07;0.21;25/08/2021;Fellfield;100;83;83;33;39.76;0;37.35;2.41;0;NA;NA;0.00427;0.218
Phyteuma hemisphaericum;Mediterranean;Campanulaceae;250821-07;250821-07;0.21;25/08/2021;Snowbed;99;89;89.9;24;26.97;0;17.98;8.99;1.12;NA;NA;0.00362;0.427
Phyteuma orbiculare;Temperate;Campanulaceae;300921-02;300921-02;0.19;30/09/2021;Fellfield;51;35;68.63;7;20;0;20;0;0;NA;NA;0.00463;1
Phyteuma orbiculare;Temperate;Campanulaceae;300921-02;300921-02;0.19;30/09/2021;Snowbed;47;28;59.57;10;35.71;0;17.86;17.86;17.86;NA;NA;0.00403;0.556
Plantago alpina;Temperate;Plantaginaceae;130921-08;130921-08;1.27;13/09/2021;Fellfield;60;54;90;54;100;12.96;87.04;0;0;194.6111111;300.5;0.00528;0.195
Plantago alpina;Temperate;Plantaginaceae;130921-08;130921-08;1.27;13/09/2021;Snowbed;60;46;76.67;45;97.83;2.17;89.13;6.52;63.04;231.8416667;181.1666667;0.00413;0.241
Plantago alpina;Temperate;Plantaginaceae;300821-15;300821-15;1.27;30/08/2021;Fellfield;100;90;90;90;100;38.89;60;1.11;0;157.4490385;368.25;0.00745;0.256
Plantago alpina;Temperate;Plantaginaceae;300821-15;300821-15;1.27;30/08/2021;Snowbed;100;96;96;96;100;0;97.92;2.08;68.75;237.25;269.5;0.00412;0.226
Plantago holosteum;Mediterranean;Plantaginaceae;240821-04;240821-04;0.36;24/08/2021;Fellfield;100;100;100;100;100;100;0;0;0;7;93.5;0.0714;1
Plantago holosteum;Mediterranean;Plantaginaceae;240821-04;240821-04;0.36;24/08/2021;Snowbed;100;100;100;100;100;100;0;0;0;7;67.5;0.0714;1
Plantago holosteum;Mediterranean;Plantaginaceae;240821-04;240821-04b;0.36;24/08/2021;Fellfield;50;50;100;50;100;100;0;0;0;10.02083333;68;0.0179;1
Plantago holosteum;Mediterranean;Plantaginaceae;240821-04;240821-04b;0.36;24/08/2021;Snowbed;50;47;94;45;95.74;70.21;25.53;0;14.89;14.31284467;46.75;0.00944;0.559
Plantago holosteum;Mediterranean;Plantaginaceae;250821-12;250821-12;0.36;25/08/2021;Fellfield;100;100;100;99;99;93;6;0;0;9.159337945;106.625;0.0304;0.881
Plantago holosteum;Mediterranean;Plantaginaceae;250821-12;250821-12;0.36;25/08/2021;Snowbed;100;100;100;98;98;87;8;3;1;9.795578063;75.375;0.0246;0.796
Plantago holosteum;Mediterranean;Plantaginaceae;250821-12;250821-12b;0.36;25/08/2021;Fellfield;50;49;98;45;91.84;67.35;24.49;0;14.29;10.53125;56;0.0104;0.55
Plantago holosteum;Mediterranean;Plantaginaceae;250821-12;250821-12b;0.36;25/08/2021;Snowbed;50;49;98;49;100;0;95.92;4.08;71.43;207.3317308;53.25;0.00395;0.285
Ranunculus carianthiacus;Temperate;Ranunculaceae;310821-16;310821-16;0.17;31/08/2021;Fellfield;15;15;100;4;26.67;0;0;26.67;0;NA;NA;0.003759398;1
Ranunculus carianthiacus;Temperate;Ranunculaceae;310821-16;310821-16;0.17;31/08/2021;Snowbed;15;15;100;0;0;0;0;0;0;NA;NA;NA;NA
Salix fontqueri;Temperate;Salicaceae;140921-01;140921-01;0.03;14/09/2021;Fellfield;5;5;100;0;0;0;0;0;0;NA;NA;NA;NA
Salix fontqueri;Temperate;Salicaceae;140921-01;140921-01;0.03;14/09/2021;Snowbed;5;5;100;0;0;0;0;0;0;NA;NA;NA;NA
Saxifraga conifera;Temperate;Saxifragaceae;130921-09;130921-09;0.81;13/09/2021;Fellfield;98;61;62.24;59;96.72;85.25;1.64;9.84;0;17.05026709;158.375;0.0268;0.4046
Saxifraga conifera;Temperate;Saxifragaceae;130921-09;130921-09;0.81;13/09/2021;Snowbed;100;58;58;41;70.69;5.17;0;65.52;0;327.9333333;1274.833333;0.00321;0.354
Saxifraga conifera;Temperate;Saxifragaceae;140921-08;140921-08;0.81;14/09/2021;Fellfield;59;31;52.54;27;87.1;48.39;0;38.71;0;108.0248016;518.6666667;0.00885;0.37
Saxifraga conifera;Temperate;Saxifragaceae;140921-08;140921-08;0.81;14/09/2021;Snowbed;60;39;65;27;69.23;7.69;0;61.54;0;327.5;1294.5;0.00371;0.283
Saxifraga paniculata;Temperate;Saxifragaceae;310821-14;310821-14;0.03;31/08/2021;Fellfield;100;97;97;94;96.91;0;96.91;0;0;222.0175886;499.875;0.00444;0.432
Saxifraga paniculata;Temperate;Saxifragaceae;310821-14;310821-14;0.03;31/08/2021;Snowbed;100;89;89;53;59.55;0;3.37;56.18;0;283.5198413;551.5;0.00358;0.302
Scilla verna;Temperate;Asparagaceae;310821-06;310821-06;0.04;31/08/2021;Fellfield;100;96;96;10;10.42;0;0;10.42;0;NA;NA;0.00278;1
Scilla verna;Temperate;Asparagaceae;310821-06;310821-06;0.04;31/08/2021;Snowbed;100;98;98;28;28.57;0;0;28.57;0;NA;NA;0.0028;0.507
Sedum album cf;Temperate;Crassulaceae;300821-14;300821-14;0.03;30/08/2021;Fellfield;100;97;97;0;0;0;0;0;0;NA;NA;NA;NA
Sedum album cf;Temperate;Crassulaceae;300821-14;300821-14;0.03;30/08/2021;Snowbed;100;94;94;0;0;0;0;0;0;NA;NA;NA;NA
Sedum anglicum;Mediterranean;Crassulaceae;240821-09;240821-09;0.08;24/08/2021;Fellfield;100;95;95;82;86.32;75.79;7.37;3.16;5.26;18.76423611;214.75;0.0274;0.386
Sedum anglicum;Mediterranean;Crassulaceae;240821-09;240821-09;0.08;24/08/2021;Snowbed;100;94;94;61;64.89;59.57;0;5.32;0;33.84027778;241.375;0.0248;0.34
Sedum anglicum;Mediterranean;Crassulaceae;240821-09;240821-09b;0.08;24/08/2021;Fellfield;50;33;66;19;57.58;3.03;27.27;27.27;21.21;306.5;1843.25;0.00385;0.17
Sedum anglicum;Mediterranean;Crassulaceae;240821-09;240821-09b;0.08;24/08/2021;Snowbed;50;45;90;15;33.33;0;4.44;28.89;0;NA;NA;0.00305;0.206
Sedum anglicum;Mediterranean;Crassulaceae;250821-09;250821-09;0.08;25/08/2021;Fellfield;100;76;76;48;63.16;38.16;15.79;9.21;3.95;148.6805556;371.8333333;0.00949;0.125
Sedum anglicum;Mediterranean;Crassulaceae;250821-09;250821-09;0.08;25/08/2021;Snowbed;100;90;90;40;44.44;27.78;1.11;15.56;0;282.5;678.5;0.00858;0.197
Sedum brevifolium;Mediterranean;Crassulaceae;240821-11;240821-11;1.8;24/08/2021;Fellfield;100;89;89;68;76.4;71.91;3.37;1.12;0;75.04807692;352.625;0.0265;0.392
Sedum brevifolium;Mediterranean;Crassulaceae;240821-11;240821-11;1.8;24/08/2021;Snowbed;95;90;94.74;65;72.22;64.44;0;7.78;0;84.89285714;240.625;0.0212;0.374
Sedum brevifolium;Mediterranean;Crassulaceae;240821-11;240821-11b;1.8;24/08/2021;Fellfield;50;26;52;1;3.85;0;3.85;0;0;NA;NA;0.004;NA
Sedum brevifolium;Mediterranean;Crassulaceae;240821-11;240821-11b;1.8;24/08/2021;Snowbed;50;50;100;2;4;0;2;2;0;NA;NA;0.003235997;NA
Sedum brevifolium;Mediterranean;Crassulaceae;250821-08;250821-08;1.8;25/08/2021;Fellfield;99;93;93.94;24;25.81;11.83;13.98;0;0;NA;NA;0.00831;0.171
Sedum brevifolium;Mediterranean;Crassulaceae;250821-08;250821-08;1.8;25/08/2021;Snowbed;100;93;93;20;21.51;4.3;0;17.2;0;NA;NA;0.00403;0.35
Sempervivum arachnoideo;Mediterranean;Crassulaceae;230921-02;230921-02;0.27;23/09/2021;Fellfield;99;86;86.87;82;95.35;0;93.02;2.33;0;214.0733974;370;0.00456;0.405
Sempervivum arachnoideo;Mediterranean;Crassulaceae;230921-02;230921-02;0.27;23/09/2021;Snowbed;100;85;85;76;89.41;0;0;89.41;0;259.4943182;347;0.00381;0.384
Sempervivum arachnoideo;Mediterranean;Crassulaceae;230921-04;230921-04;0.27;23/09/2021;Fellfield;100;93;93;90;96.77;0;95.7;1.08;0;211.4305556;348.5;0.00466;0.26
Sempervivum arachnoideo;Mediterranean;Crassulaceae;230921-04;230921-04;0.27;23/09/2021;Snowbed;100;87;87;63;72.41;0;0;72.41;0;260.0833333;355;0.00382;0.372
Sesleria caerula;Temperate;Poaceae;310821-03;310821-03;NA;31/08/2021;Fellfield;100;75;75;75;100;93.33;5.33;1.33;0;25.07852564;267.75;0.0242;0.563
Sesleria caerula;Temperate;Poaceae;310821-03;310821-03;NA;31/08/2021;Snowbed;99;69;69.7;67;97.1;36.23;15.94;44.93;15.94;195.434375;304.625;0.00539;0.131
Sesleria caerula;Temperate;Poaceae;310821-03;310821-03b;NA;31/08/2021;Fellfield;23;15;65.22;15;100;0;73.33;26.67;0;203.1666667;292.5;0.00397;0.143
Sesleria caerula;Temperate;Poaceae;310821-03;310821-03b;NA;31/08/2021;Snowbed;25;15;60;15;100;0;0;100;0;249.5;329;0.00347;0.4
Silene acaulis;Temperate;Caryophyllaceae;130921-07;130921-07;1.45;13/09/2021;Fellfield;100;85;85;52;61.18;10.59;7.06;43.53;0;303.9166667;1601.5;0.00534;0.208
Silene acaulis;Temperate;Caryophyllaceae;130921-07;130921-07;1.45;13/09/2021;Snowbed;100;89;89;29;32.58;3.37;4.49;24.72;4.49;NA;NA;0.0041;0.122
Silene acaulis;Temperate;Caryophyllaceae;140921-03;140921-03;1.45;14/09/2021;Fellfield;99;65;65.66;23;35.38;1.54;4.62;29.23;0;NA;NA;0.00371;0.281
Silene acaulis;Temperate;Caryophyllaceae;140921-03;140921-03;1.45;14/09/2021;Snowbed;100;83;83;29;34.94;2.41;0;32.53;0;288;692.5;0.00396;0.311
Silene ciliata;Temperate;Caryophyllaceae;140921-09;140921-09;0.45;14/09/2021;Fellfield;100;90;90;79;87.78;20;67.78;0;0;202.75625;311.375;0.00557;0.155
Silene ciliata;Temperate;Caryophyllaceae;140921-09;140921-09;0.45;14/09/2021;Snowbed;100;82;82;61;74.39;3.66;36.59;34.15;14.63;253.13125;267;0.00396;0.204
Silene ciliata;Mediterranean;Caryophyllaceae;230921-01;230921-01;0.47;23/09/2021;Fellfield;100;93;93;84;90.32;2.15;86.02;2.15;0;196.5291667;257.875;0.00456;0.318
Silene ciliata;Mediterranean;Caryophyllaceae;230921-01;230921-01;0.47;23/09/2021;Snowbed;100;87;87;82;94.25;0;75.86;18.39;9.2;242.6020833;192.75;0.00377;0.4
Silene ciliata;Mediterranean;Caryophyllaceae;230921-03;230921-03;0.47;23/09/2021;Fellfield;100;98;98;88;89.8;0;87.76;2.04;0;201.2291667;278.875;0.00442;0.18
Silene ciliata;Mediterranean;Caryophyllaceae;230921-03;230921-03;0.47;23/09/2021;Snowbed;100;99;99;95;95.96;1.01;87.88;7.07;9.09;238.934232;176;0.00384;0.394
Silene ciliata;Temperate;Caryophyllaceae;300821-11;300821-11;0.45;30/08/2021;Fellfield;100;98;98;95;96.94;0;96.94;0;0;218.9861111;497.25;0.00446;0.235
Silene ciliata;Temperate;Caryophyllaceae;300821-11;300821-11;0.45;30/08/2021;Snowbed;100;100;100;97;97;0;67;30;28;258.4527778;326.875;0.0038;0.209
Solidago virgaurea;Mediterranean;Asteraceae;240821-08;240821-08;0.02;24/08/2021;Fellfield;98;75;76.53;75;100;97.33;2.67;0;0;11.75459957;143.125;0.0436;0.496
Solidago virgaurea;Mediterranean;Asteraceae;240821-08;240821-08;0.02;24/08/2021;Snowbed;96;80;83.33;80;100;13.75;85;1.25;85;236.4775264;325.5;0.00481;0.566
Solidago virgaurea;Mediterranean;Asteraceae;240821-08;240821-08b;0.02;24/08/2021;Fellfield;48;30;62.5;30;100;0;100;0;3.33;174.5340909;128;0.00459;0.43
Solidago virgaurea;Mediterranean;Asteraceae;240821-08;240821-08b;0.02;24/08/2021;Snowbed;45;39;86.67;39;100;0;100;0;66.67;209.125;74.5;0.004;0.204
Solidago virgaurea;Mediterranean;Asteraceae;250821-13;250821-13;0.02;25/08/2021;Fellfield;100;92;92;92;100;71.74;28.26;0;0;18.05297619;205.625;0.0139;0.401
Solidago virgaurea;Mediterranean;Asteraceae;250821-13;250821-13;0.02;25/08/2021;Snowbed;96;54;56.25;54;100;11.11;88.89;0;72.22;234.0690476;285.625;0.00447;0.33
Solidago virgaurea;Mediterranean;Asteraceae;250821-13;250821-13b;0.02;25/08/2021;Fellfield;47;37;78.72;37;100;0;100;0;0;173.7083333;107.75;0.00456;0.264
Solidago virgaurea;Mediterranean;Asteraceae;250821-13;250821-13b;0.02;25/08/2021;Snowbed;50;38;76;31;81.58;0;73.68;7.89;18.42;221;89.25;0.00381;0.222
Spergula morisonii;Mediterranean;Caryophyllaceae;150721-01;150721-01;0.02;15/07/2021;Fellfield;100;75;75;61;81.33;76;2.67;2.67;0;47.01964286;740.875;0.016;0.683
Spergula morisonii;Mediterranean;Caryophyllaceae;150721-01;150721-01;0.02;15/07/2021;Snowbed;99;84;84.85;74;88.1;88.1;0;0;0;25.72240497;425;0.0234;0.888
Spergula morisonii;Mediterranean;Caryophyllaceae;150721-01;150721-01b;0.02;15/07/2021;Fellfield;49;44;89.8;28;63.64;40.91;22.73;0;22.73;13.77864583;83;0.00648;0.718
Spergula morisonii;Mediterranean;Caryophyllaceae;150721-01;150721-01b;0.02;15/07/2021;Snowbed;50;46;92;6;13.04;2.17;10.87;0;10.87;NA;NA;0.00383;0.75
Spergula morisonii;Mediterranean;Caryophyllaceae;280721-01;280721-01;0.02;28/07/2021;Fellfield;68;37;54.41;17;45.95;37.84;0;8.11;0;288.6333333;2473.166667;0.00872;0.525
Spergula morisonii;Mediterranean;Caryophyllaceae;280721-01;280721-01;0.02;28/07/2021;Snowbed;68;41;60.29;24;58.54;58.54;0;0;0;46.58333333;693.1666667;0.0193;0.6
Thymus praecox;Mediterranean;Lamiaceae;110821-05;110821-05;0.81;11/08/2021;Fellfield;100;65;65;64;98.46;81.54;12.31;4.62;0;18.62673611;252.25;0.016;0.412
Thymus praecox;Mediterranean;Lamiaceae;110821-05;110821-05;0.81;11/08/2021;Snowbed;100;72;72;72;100;44.44;16.67;38.89;4.17;153.84375;394.5;0.006;0.163
Thymus praecox;Mediterranean;Lamiaceae;110821-05;110821-05b;0.81;11/08/2021;Fellfield;50;31;62;31;100;0;93.55;6.45;0;192.0416667;199.5;0.00402;0.223
Thymus praecox;Mediterranean;Lamiaceae;110821-05;110821-05b;0.81;11/08/2021;Snowbed;50;32;64;30;93.75;0;3.12;90.62;0;240.2708333;204.75;0.00343;0.476
Thymus praecox;Mediterranean;Lamiaceae;120821-06;120821-06;0.81;12/08/2021;Fellfield;100;90;90;89;98.89;98.89;0;0;0;9.026442308;129;0.0476;0.512
Thymus praecox;Mediterranean;Lamiaceae;120821-06;120821-06;0.81;12/08/2021;Snowbed;99;94;94.95;94;100;89.36;1.06;9.57;0;12.89803922;137.25;0.0233;0.415
Thymus praecox;Mediterranean;Lamiaceae;120821-06;120821-06b;0.81;12/08/2021;Fellfield;50;27;54;27;100;0;96.3;3.7;0;196.1875;233.5;0.00408;0.253
Thymus praecox;Mediterranean;Lamiaceae;120821-06;120821-06b;0.81;12/08/2021;Snowbed;50;36;72;36;100;0;11.11;88.89;0;241.7708333;195.5;0.00345;0.545
Thymus praecox;Temperate;Lamiaceae;130921-10;130921-10;2.65;13/09/2021;Fellfield;100;68;68;67;98.53;19.12;69.12;10.29;0;232.7916667;566.5;0.00458;0.196
Thymus praecox;Temperate;Lamiaceae;130921-10;130921-10;2.65;13/09/2021;Snowbed;95;69;72.63;68;98.55;1.45;4.35;92.75;0;278.515625;514.875;0.0033;0.208
Thymus praecox;Temperate;Lamiaceae;300821-07;300821-07;2.65;30/08/2021;Fellfield;100;89;89;88;98.88;85.39;12.36;1.12;1.12;10.71517028;122.875;0.0161;0.583
Thymus praecox;Temperate;Lamiaceae;300821-07;300821-07;2.65;30/08/2021;Snowbed;98;76;77.55;75;98.68;0;31.58;67.11;0;271.39375;403.5;0.00345;0.303
Thymus praecox;Temperate;Lamiaceae;300821-07;300821-07b;2.65;30/08/2021;Fellfield;50;35;70;33;94.29;0;82.86;11.43;0;191.53125;196.5;0.00398;0.229
Thymus praecox;Temperate;Lamiaceae;300821-07;300821-07b;2.65;30/08/2021;Snowbed;50;44;88;42;95.45;0;20.45;75;0;239.3958333;199.5;0.0039;0.364
