species;community;family;accession;code;abundance;recolection;incubator;total_seeds;viable_seeds;viablePER;seeds_germ;germPER;autumn_germ ;spring_germ ;summer_germ ;winter_germ;t50;HS;MGT;Syn
Armeria cantabrica;Temperate;Plumbaginaceae;130921-15;130921-15;1.37;13/09/2021;Fellfield;91;71;78.02;66;92.96;1.41;36.62;54.93;0;251.9041667;836.375;0.00386;0.156
Armeria cantabrica;Temperate;Plumbaginaceae;130921-15;130921-15;1.37;13/09/2021;Snowbed;97;78;80.41;74;94.87;0;16.67;78.21;15.38;274.0069444;567;0.00356;0.17
Armeria cantabrica;Temperate;Plumbaginaceae;140921-07;140921-07;1.37;14/09/2021;Fellfield;11;4;36.36;4;100;0;75;25;0;224.5;472;0.00411;0.167
Armeria cantabrica;Temperate;Plumbaginaceae;140921-07;140921-07;1.37;14/09/2021;Snowbed;11;3;27.27;3;100;0;0;100;0;282;626.5;0.0035;0
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01;0.88;24/08/2021;Fellfield;100;88;88;88;100;100;0;0;0;7.527402746;105.5;0.0632;0.872
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01;0.88;24/08/2021;Snowbed;100;88;88;87;98.86;93.18;0;5.68;0;12.87441725;124.75;0.0408;0.657
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01b;0.88;24/08/2021;Fellfield;50;46;92;46;100;50;21.74;28.26;19.57;58.953125;106.5;0.00597;0.314
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01b;0.88;24/08/2021;Snowbed;50;45;90;45;100;0;4.44;95.56;2.22;311.75;1186.75;0.00284;0.183
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01;0.88;25/08/2021;Fellfield;99;82;82.83;82;100;98.78;0;1.22;0;7.062280702;84.25;0.041;0.75
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01;0.88;25/08/2021;Snowbed;99;84;84.85;83;98.81;94.05;2.38;2.38;2.38;17.53882576;137.125;0.0246;0.541
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01b;0.88;25/08/2021;Fellfield;50;45;90;39;86.67;35.56;4.44;46.67;4.44;306.375;1797.5;0.00431;0.246
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01b;0.88;25/08/2021;Snowbed;50;48;96;30;62.5;0;0;62.5;0;319.7727273;1293.5;0.00282;0.235
Carex sempervirens;Temperate;Cyperaceae;130921-02;130921-02;5.44;13/09/2021;Fellfield;99;66;66.67;65;98.48;0;89.39;9.09;0;241.8833333;663;0.00397;0.394
Carex sempervirens;Temperate;Cyperaceae;130921-02;130921-02;5.44;13/09/2021;Snowbed;90;73;81.11;72;98.63;0;0;98.63;0;281.925;546.75;0.00344;0.482
Carex sempervirens;Temperate;Cyperaceae;310821-13;310821-13;5.44;31/08/2021;Fellfield;100;90;90;90;100;0;93.33;6.67;0;247.8291667;725;0.00397;0.232
Carex sempervirens;Temperate;Cyperaceae;310821-13;310821-13;5.44;31/08/2021;Snowbed;99;86;86.87;86;100;0;0;100;0;283.8737041;549.875;0.00348;0.705
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;150721-05;150721-05;0.04;15/07/2021;Fellfield;100;95;95;20;21.05;21.05;0;0;0;NA;NA;0.0143;1
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;150721-05;150721-05;0.04;15/07/2021;Snowbed;100;98;98;20;20.41;20.41;0;0;0;NA;NA;0.014;0.7
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02;0.04;28/07/2021;Fellfield;100;88;88;74;84.09;82.95;0;1.14;0;48.83081232;800.25;0.016;0.613
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02;0.04;28/07/2021;Snowbed;100;86;86;75;87.21;87.21;0;0;0;48.04311869;755.625;0.0175;0.488
