community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Temperate;Festuca hystrix;Poaceae;300821-01;30/08/2021;Fellfield;0.43;14;8;57.14;8;100;100;0;0;0;10.66666667;120;0.0482;0.571
Temperate;Festuca hystrix;Poaceae;300821-01;30/08/2021;Snowbed;0.43;14;4;28.57;4;100;100;0;0;0;28.66666667;195;0.0261;0.5
Temperate;Festuca rubra;Poaceae;310821-02;31/08/2021;Fellfield;2.12;25;1;4;1;100;0;100;0;0;239.5;648;0.004115226;NA
Mediterranean;Festuca summilusitana;Poaceae;240821-02;24/08/2021;Fellfield;20.26;150;102;72.5;101;98.835;55.815;40.7;2.325;37.21;55.69834123;151.875;0.02346;0.535
Mediterranean;Festuca summilusitana;Poaceae;240821-02;24/08/2021;Snowbed;20.26;149;100;70.8;94;92.685;49.155;38.65;4.88;38.65;81.77338698;126.5;0.01669;0.7345
Mediterranean;Festuca summilusitana;Poaceae;250821-02;25/08/2021;Fellfield;20.26;150;81;60;77;94.87;51.28;39.745;3.845;38.46;65.95495582;189.6875;0.016845;0.6725
Mediterranean;Festuca summilusitana;Poaceae;250821-02;25/08/2021;Snowbed;20.26;148;87;63.49;81;92.31;45.835;38.22;8.255;38.22;83.24017408;128.75;0.01118;0.694
Temperate;Gentiana verna;Gentianaceae;130921-06;13/09/2021;Fellfield;0.1;100;56;56;9;16.07;0;16.07;0;0;NA;NA;0.00453;0.55
Temperate;Gentiana verna;Gentianaceae;130921-06;13/09/2021;Snowbed;0.1;98;68;69.39;11;16.18;0;14.71;1.47;13.24;NA;NA;0.0042;0.5
Temperate;Gentiana verna;Gentianaceae;140921-06;14/09/2021;Fellfield;0.1;99;75;75.76;1;1.33;0;1.33;0;0;NA;NA;0.004219409;NA
Temperate;Gentiana verna;Gentianaceae;140921-06;14/09/2021;Snowbed;0.1;100;78;78;1;1.28;0;1.28;0;1.28;NA;NA;0.004444444;NA
Temperate;Gentianella campestris;Gentianaceae;300921-03;30/09/2021;Fellfield;0.01;100;97;97;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Gentianella campestris;Gentianaceae;300921-03;30/09/2021;Snowbed;0.01;100;100;100;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Gypsophila repens;Caryophyllaceae;300821-10;30/08/2021;Fellfield;0.32;98;58;59.18;54;93.1;20.69;63.79;8.62;0;234.0625;600.125;0.00517;0.179
Temperate;Gypsophila repens;Caryophyllaceae;300821-10;30/08/2021;Snowbed;0.32;98;73;74.49;73;100;0;0;100;0;286.5925245;580;0.00345;0.542
Temperate;Gypsophila repens;Caryophyllaceae;310821-08;31/08/2021;Fellfield;0.32;100;92;92;91;98.91;14.13;77.17;7.61;0;226.4583333;531.875;0.00488;0.267
Temperate;Gypsophila repens;Caryophyllaceae;310821-08;31/08/2021;Snowbed;0.32;100;95;95;92;96.84;2.11;6.32;88.42;4.21;277.0348402;466.25;0.00361;0.25
Temperate;Helianthemum canum;Cistaceae;300821-05;30/08/2021;Fellfield;2.29;100;87;87;35;40.23;26.44;10.34;3.45;0;279;1245;0.0106;0.327
Temperate;Helianthemum canum;Cistaceae;300821-05;30/08/2021;Snowbed;2.29;100;77;77;24;31.17;15.58;3.9;11.69;0;NA;NA;0.00663;0.1
Temperate;Helianthemum canum;Cistaceae;310821-05;31/08/2021;Fellfield;2.29;100;78;78;14;17.95;11.54;1.28;5.13;0;NA;NA;0.0242;0.325
Temperate;Helianthemum canum;Cistaceae;310821-05;31/08/2021;Snowbed;2.29;100;82;82;10;12.2;4.88;4.88;2.44;3.66;NA;NA;0.0079;0.233
Temperate;Helianthemum urrielense;Cistaceae;130921-05;13/09/2021;Fellfield;2.48;150;48;40;32;59.375;15.625;32.81;10.935;10.94;102.9;197.875;0.01218;0.3585
Temperate;Helianthemum urrielense;Cistaceae;130921-05;13/09/2021;Snowbed;2.48;149;42;37.05;33;68.75;25;32.81;10.94;31.25;87.5573443;77.25;0.03539;0.7495
Temperate;Helianthemum urrielense;Cistaceae;140921-04;14/09/2021;Fellfield;2.48;148;13;8.59;12;87.5;87.5;0;0;0;11.08072917;82.9375;0.2895;0.575
Temperate;Helianthemum urrielense;Cistaceae;140921-04;14/09/2021;Snowbed;2.48;125;10;9.5;10;100;50;50;0;50;59.51562499;62.75;0.01692;1
Mediterranean;Helictochloa marginata;Poaceae;240821-06;24/08/2021;Fellfield;0.41;30;4;13.33;4;100;25;75;0;0;142.75;582.25;0.00541;0.5
Mediterranean;Helictochloa marginata;Poaceae;240821-06;24/08/2021;Snowbed;0.41;30;5;16.67;5;100;20;20;60;20;165.6770833;432.5;0.00358;0.5
Temperate;Helictotrichon sedenense;Poaceae;300821-09;30/08/2021;Fellfield;1.04;93;14;15.05;14;100;7.14;92.86;0;0;229.5625;568.25;0.00471;0.5
Temperate;Helictotrichon sedenense;Poaceae;300821-09;30/08/2021;Snowbed;1.04;94;20;21.28;20;100;0;85;15;85;231.58125;277;0.00419;0.769
Temperate;Iberis carnosa;Brassicaceae;130921-12;13/09/2021;Fellfield;0.09;125;119;97;106;85.745;38.3;3.065;44.385;2;137.6564784;624.625;0.01098;0.3656
Temperate;Iberis carnosa;Brassicaceae;130921-12;13/09/2021;Snowbed;0.09;100;91;91;90;98.9;16.48;0;82.42;0;311.6736111;1005.875;0.00375;0.154
Temperate;Jasione cavanillesii;Campanulaceae;130921-14;13/09/2021;Fellfield;0.04;60;35;58.33;20;57.14;0;54.29;2.86;0;226.25;491.5;0.00445;0.0995
Temperate;Jasione cavanillesii;Campanulaceae;130921-14;13/09/2021;Snowbed;0.04;60;31;51.67;15;48.39;0;3.23;45.16;0;272.2916667;474.25;0.00371;0.289
