species;code;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;delayS_F
Helianthemum urrielense;130921-05;26;13.08;11;44.58;0;0;NA
Helictochloa marginata;240821-06;9;15;9;100;1;25;23
Helictotrichon sedenense;300821-09;34;18.18;34;100;17;87.86;2.25
Iberis carnosa;130921-12;206;92.5;176;89.19;0;0;301.75
Jasione cavanillesii;130921-14;66;55;35;52.68;0;0;NA
Jasione cavanillesii;140921-05;44;48.89;1;3.33;0;0;NA
Jurinea humilis;110821-06;26;22.39;26;100;10;100;236.5
Jurinea humilis;120821-03;19;19.78;19;100;1;100;235.67
Jurinea humilis;310821-01;37;24.67;37;100;30;100;110
Kobresia myosuroides;130921-03;65;32.5;0;0;0;0;NA
Koeleria vallesiana;300821-02;129;64.5;128;99.17;4;9.96;20.5
Koeleria vallesiana;310821-09;135;68.21;135;100;6;9.45;15.25
Luzula caespitosa;110821-03;56;28;50;89.03;22;96.88;213
Luzula caespitosa;120821-04;79;39.5;77;97.92;45;95;73.25
Minuartia recurva;110821-07;180;90;180;100;0;0;15.25
Minuartia recurva;120821-01;191;95.5;191;100;3;4.35;0.75
Minuartia verna;300821-06;189;94.5;52;27.41;0;0;NA
MinuartiaCF;310821-10;199;99.5;58;29.29;0;0;NA
Neochischkinia truncatula;240821-07;187;93.5;177;94.74;0;0;0.5
Neochischkinia truncatula;250821-03;168;85.3;151;90.09;0;0;3.5
Pedicularis pyrenaica;130921-04;100;50;46;46.44;20;84.34;NA
Pedicularis pyrenaica;310821-04;167;83.5;44;26.36;19;92.22;NA
Phalacrocarpum oppositifolium;110821-02;130;65;129;99.34;6;18.38;-2.25
Phalacrocarpum oppositifolium;120821-05;24;50;23;93.75;6;38.57;85.5
Phyteuma hemisphaericum;240821-10;151;78.43;49;31.78;0;0;NA
Phyteuma hemisphaericum;250821-07;172;86.46;57;33.66;0;0;NA
Phyteuma orbiculare;300921-02;63;63.27;17;27.43;0;0;NA
Plantago alpina;130921-08;100;83.33;99;99.17;3;5.47;37
Plantago alpina;300821-15;186;93;186;100;23;24.15;79.75
Plantago holosteum;250821-12;200;100;197;98.5;1;1;1
Ranunculus carianthiacus;310821-16;30;100;4;13.34;0;0;NA
Salix fontqueri;140921-01;10;100;0;0;0;0;NA
Saxifraga conifera;130921-09;119;60.19;100;82.43;0;0;NA
Saxifraga conifera;140921-08;70;58.86;54;76.47;0;0;NA
Saxifraga paniculata;310821-14;186;93;147;77.14;0;0;NA
Scilla verna;310821-06;194;97;38;19.64;0;0;NA
Sedum anglicum;240821-09;189;94.5;143;75.64;0;0;15
Sedum anglicum;250821-09;166;83;88;54.27;0;0;NA
Sedum brevifolium;240821-11;179;91.92;133;74.17;0;0;9.75
Sedum brevifolium;250821-08;186;93.46;44;23.42;0;0;NA
Sedum sp (album cf);300821-14;191;95.5;0;0;0;0;NA
Sempervivum arachnoideo;230921-02;171;85.96;158;92.04;0;0;45.25
Sempervivum arachnoideo;230921-04;180;90;153;84.97;0;0;NA
Sesleria caerula;310821-03;166;72.33;142;92.19;9;20;170.5
Silene acaulis;130921-07;174;87;81;46.9;3;9.03;NA
Silene acaulis;140921-03;148;74.27;52;35.01;0;0;NA
Silene ciliata;140921-09;172;86;140;82.32;9;14.48;50.25
Silene ciliata;230921-01;180;90;166;92.16;3;3.32;46
Silene ciliata;230921-03;197;98.5;183;92.87;1;1.04;37.75
Silene ciliata;300821-11;198;99;192;96.98;21;21.71;39.5
Solidago virgaurea;240821-08;155;79.99;155;100;60;74.9;225
Solidago virgaurea;250821-13;146;73.8;146;100;28;51.39;216.25
Spergula morisonii;150721-01;159;79.94;135;84.87;0;0;-21.25
Spergula morisonii;280721-01;78;57.35;41;54.29;0;0;NA
Thymus praecox;110821-05;200;68.5;136;80.59;0;0;135.25
Thymus praecox;120821-06;184;92.5;183;99.43;0;0;3.75
Thymus praecox;130921-10;137;70.62;135;98.72;0;0;45.5
Thymus praecox;300821-07;165;83.27;163;98.77;0;0;260.5
