species;code;incubator;petridish;total;viable;viablePER;germPER;Mid_November;Wintergerm;Mid_June;Mid_September;t50lm;HS;coldstratgerm;Uncertainty
Thymus praecox;120821-06;Fellfield;3;25;22;88;95.45;95.45;0;0;0;6.88;96;0;0.792
Thymus praecox;120821-06;Fellfield;4;25;18;72;100;100;0;0;0;10;152;0;1
Thymus praecox;120821-06;Snowbed;1;25;25;100;100;96;0;4;0;8.33;99;4;1.34
Thymus praecox;120821-06;Snowbed;2;24;24;100;100;91.67;0;0;8.33;7.06;88.5;8.33;1.123
Thymus praecox;120821-06;Snowbed;3;25;22;88;100;95.45;0;0;4.55;12.7;141;4.55;1.439
Thymus praecox;120821-06;Snowbed;4;25;23;92;100;73.91;0;0;26.09;23.5;233.5;26.09;1.901
Thymus praecox;130921-10;Fellfield;1;25;18;72;100;5.56;0;77.78;16.67;236;602;94.44;2.525
Thymus praecox;130921-10;Fellfield;2;25;14;56;100;35.71;0;57.14;7.14;230.17;544.5;64.29;2.217
Thymus praecox;130921-10;Fellfield;3;25;16;64;100;6.25;0;75;18.75;234.6;582.5;93.75;2.68
Thymus praecox;130921-10;Fellfield;4;25;20;80;95;30;0;65;0;230.4;544.5;68.42;2.039
Thymus praecox;130921-10;Snowbed;1;25;16;64;100;0;0;6.25;93.75;276;480;100;2.147
Thymus praecox;130921-10;Snowbed;2;25;19;76;94.74;5.26;0;5.26;84.21;281.31;546;94.45;2.308
Thymus praecox;130921-10;Snowbed;3;25;17;68;100;0;0;5.88;94.12;278.5;505.5;100;2.343
Thymus praecox;130921-10;Snowbed;4;20;17;85;100;0;0;0;100;278.25;505.5;100;2.38
Thymus praecox;300821-07;Fellfield;1;25;22;88;95.45;86.36;0;9.09;0;10.35;121;9.52;1.083
Thymus praecox;300821-07;Fellfield;2;25;23;92;100;86.96;0;13.04;0;10.82;121;13.04;1.209
Thymus praecox;300821-07;Fellfield;3;25;21;84;100;80.95;0;14.29;4.76;12;144;19.05;1.532
Thymus praecox;300821-07;Fellfield;4;25;23;92;100;86.96;4.35;8.69;0;9.68;109.5;13.04;0.927
Thymus praecox;300821-07;Snowbed;1;25;18;72;100;0;0;27.78;72.22;270.2;395;100;1.415
Thymus praecox;300821-07;Snowbed;2;25;21;84;100;0;0;28.57;71.43;275.38;439.5;100;2.13
Thymus praecox;300821-07;Snowbed;3;24;18;75;100;0;0;33.33;66.67;269.67;388.5;100;1.612
Thymus praecox;300821-07;Snowbed;4;24;19;79.17;94.74;0;0;36.84;57.89;270.33;395;100;1.841
