species;code;incubator;total;viable;viablePER;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep
Carex sempervirens;310821-13;Snowbed;99;86;86.83;100;0;0;0;100;0;100
Cerastium sp;150721-05;Fellfield;100;95;95;20.7;20.7;0;0;0;0;0
Cerastium sp;150721-05;Snowbed;100;98;98;20.52;20.52;0;0;0;0;0
Cerastium sp;280721-02;Fellfield;100;88;88;84.94;83.9;0;0;0;0;1.04
Cerastium sp;280721-02;Snowbed;100;86;86;88;88;0;0;0;0;0
Conopodium majus;240821-03;Fellfield;99;28;28.17;95.83;0;60.42;35.42;0;35.42;0
Conopodium majus;240821-03;Snowbed;100;53;53;100;0;98.33;1.67;0;0;1.67
Conopodium majus;250821-04;Fellfield;100;56;56;100;0;97.06;2.94;0;2.94;0
Conopodium majus;250821-04;Snowbed;100;64;64;98.44;0;98.44;0;0;0;0
Dethawia splendens;310821-07;Fellfield;79;59;74.67;94.49;0;8.06;86.43;0;86.43;0
Dethawia splendens;310821-07;Snowbed;76;49;64.5;100;0;90;10;0;7.5;2.5
Dianthus langeanus;110821-01;Fellfield;100;99;99;100;99;0;1;0;1;0
Dianthus langeanus;110821-01;Snowbed;100;95;95;100;100;0;0;0;0;0
Dianthus langeanus;120821-02;Fellfield;100;99;99;100;100;0;0;0;0;0
Dianthus langeanus;120821-02;Snowbed;100;97;97;100;94.88;5.13;0;0;0;0
Erigeron alpinus;310821-15;Fellfield;100;98;98;100;0;0;100;0;100;0
Erigeron alpinus;310821-15;Snowbed;100;99;99;100;0;3;91.96;5.04;38.25;58.75
Euphrasia salisburgensis;011021-01;Fellfield;100;100;100;1;0;0;1;0;1;0
Euphrasia salisburgensis;011021-01;Snowbed;100;100;100;1;0;1;0;0;0;0
Euphrasia salisburgensis;300921-01;Fellfield;100;96;96;2.04;0;0;0;0;0;2.04
Euphrasia salisburgensis;300921-01;Snowbed;100;99;99;0;0;0;0;0;0;0
Festuca hystrix;130921-16;Fellfield;20;17;85;100;94.12;0;5.88;5.88;5.88;0
Festuca hystrix;130921-16;Snowbed;20;19;95;73.68;42.11;15.79;0;15.79;0;15.79
Festuca hystrix;300821-01;Fellfield;14;8;57.14;100;100;0;0;0;0;0
Festuca hystrix;300821-01;Snowbed;14;4;28.57;100;100;0;0;0;0;0
Festuca rubra;310821-02;Fellfield;25;1;4;100;0;0;100;0;100;0
Festuca summilusitana;240821-02;Fellfield;100;59;59;100;100;0;0;0;0;0
Festuca summilusitana;240821-02;Snowbed;99;59;59.67;100;98.44;1.56;0;0;0;0
Festuca summilusitana;250821-02;Fellfield;100;42;42;100;100;0;0;0;0;0
Festuca summilusitana;250821-02;Snowbed;98;48;48.61;100;90.77;1.79;1.79;5.66;0;7.44
Gentiana verna;130921-06;Fellfield;100;56;56;15.27;0;0;15.27;0;15.27;0
Gentiana verna;130921-06;Snowbed;98;68;69.31;16.68;0;13.54;3.14;1.47;1.67;1.47
Gentiana verna;140921-06;Fellfield;99;75;75.71;1.47;0;0;1.47;0;1.47;0
Gentiana verna;140921-06;Snowbed;100;78;78;1.32;0;1.32;0;0;0;0
Gentianella campestris;300921-03;Fellfield;100;97;97;0;0;0;0;0;0;0
Gentianella campestris;300921-03;Snowbed;100;100;100;0;0;0;0;0;0;0
Gypsophila repens;300821-10;Fellfield;98;58;59.57;94.45;21.11;0;58.61;14.72;65.28;8.06
Gypsophila repens;300821-10;Snowbed;98;73;74.74;100;0;0;30.93;69.07;0;100
Gypsophila repens;310821-08;Fellfield;100;92;92;98.91;14.28;0;74.75;8.8;76.97;7.67
Gypsophila repens;310821-08;Snowbed;100;95;95;96.96;2.09;4.22;57.44;32.17;2.18;88.48
Helianthemum canum;300821-05;Fellfield;100;87;87;40.94;27.03;0;9.52;2.23;10.61;3.31
Helianthemum canum;300821-05;Snowbed;100;77;77;31.38;15.44;0;11.85;4.09;3.84;12.1
Helianthemum canum;310821-05;Fellfield;100;78;78;17.92;11.59;0;1.19;5.14;1.19;5.14
