species;code;incubator;total;viable;viablePER;germPER;Autumngerm;Wintergerm;Springgerm;Summergerm
Dianthus langeanus;110821-01;Snowbed;100;95;95.00;100.00;100.00;0.00;0.00;0.00
Dianthus langeanus;120821-02;Fellfield;100;99;99.00;100.00;100.00;0.00;0.00;0.00
Dianthus langeanus;120821-02;Snowbed;100;97;97.00;100.00;94.88;5.13;0.00;0.00
Erigeron alpinus;310821-15;Fellfield;100;98;98.00;100.00;0.00;0.00;100.00;0.00
Erigeron alpinus;310821-15;Snowbed;100;99;99.00;100.00;0.00;3.00;38.25;58.75
Euphrasia salisburgensis;011021-01;Fellfield;100;100;100.00;1.00;100.00;0.00;1.00;0.00
Euphrasia salisburgensis;011021-01;Snowbed;100;100;100.00;1.00;100.00;1.00;0.00;0.00
Euphrasia salisburgensis;300921-01;Fellfield;100;96;96.00;2.04;100.00;0.00;0.00;2.04
Euphrasia salisburgensis;300921-01;Snowbed;100;99;99.00;0.00;100.00;0.00;0.00;0.00
Festuca hystrix;130921-16;Fellfield;20;17;85.00;100.00;94.12;0.00;5.88;0.00
Festuca hystrix;130921-16;Snowbed;20;19;95.00;73.68;42.11;15.79;0.00;15.79
Festuca hystrix;300821-01;Fellfield;14;8;57.14;100.00;100.00;0.00;0.00;0.00
Festuca hystrix;300821-01;Snowbed;14;4;28.57;100.00;100.00;0.00;0.00;0.00
Festuca rubra;310821-02;Fellfield;25;1;4.00;100.00;0.00;0.00;100.00;0.00
Festuca summilusitana;240821-02;Fellfield;100;59;59.00;100.00;100.00;0.00;0.00;0.00
Festuca summilusitana;240821-02;Snowbed;99;59;59.67;100.00;98.44;1.56;0.00;0.00
Festuca summilusitana;250821-02;Fellfield;100;42;42.00;100.00;100.00;0.00;0.00;0.00
Festuca summilusitana;250821-02;Snowbed;98;48;48.61;100.00;90.77;1.79;0.00;7.44
Gentiana verna;130921-06;Fellfield;100;56;56.00;15.27;0.00;0.00;15.27;0.00
Gentiana verna;130921-06;Snowbed;98;68;69.31;16.68;0.00;13.54;1.67;1.47
Gentiana verna;140921-06;Fellfield;99;75;75.71;1.47;0.00;0.00;1.47;0.00
Gentiana verna;140921-06;Snowbed;100;78;78.00;1.32;0.00;1.32;0.00;0.00
Gentianella campestris;300921-03;Fellfield;100;97;97.00;0.00;100.00;0.00;0.00;0.00
Gentianella campestris;300921-03;Snowbed;100;100;100.00;0.00;100.00;0.00;0.00;0.00
Gypsophila repens;300821-10;Fellfield;98;58;59.57;94.45;21.11;0.00;65.28;8.06
Gypsophila repens;300821-10;Snowbed;98;73;74.74;100.00;0.00;0.00;0.00;100.00
Gypsophila repens;310821-08;Fellfield;100;92;92.00;98.91;14.28;0.00;76.97;7.67
Gypsophila repens;310821-08;Snowbed;125;119;95.00;84.46;1.56;3.18;1.66;78.06
Helianthemum canum;300821-05;Fellfield;100;87;87.00;40.94;27.03;0.00;10.61;3.31
Helianthemum canum;300821-05;Snowbed;100;77;77.00;31.38;15.44;0.00;3.84;12.10
Helianthemum canum;310821-05;Fellfield;100;78;78.00;17.92;11.59;0.00;1.19;5.14
Helianthemum canum;310821-05;Snowbed;100;82;82.00;12.25;4.55;3.75;1.14;2.81
Helianthemum urrielense;130921-05;Fellfield;100;16;16.00;39.17;35.00;0.00;0.00;4.17
Helianthemum urrielense;130921-05;Snowbed;99;10;10.17;50.00;50.00;0.00;0.00;0.00
Helianthemum urrielense;140921-04;Fellfield;98;9;9.09;100.00;100.00;0.00;0.00;0.00
Helianthemum urrielense;140921-04;Snowbed;100;7;7.00;100.00;100.00;0.00;0.00;0.00
Helictochloa marginata;240821-06;Fellfield;30;4;13.33;100.00;25.00;0.00;75.00;0.00
Helictochloa marginata;240821-06;Snowbed;30;5;16.67;100.00;50.00;12.50;0.00;37.50
Helictotrichon sedenense;300821-09;Fellfield;93;14;15.05;100.00;8.33;0.00;91.67;0.00
Helictotrichon sedenense;300821-09;Snowbed;94;20;21.31;100.00;0.00;87.86;0.00;12.14
