species;code;incubator;petridish;total;viable;viablePER;seeds_germ;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep;datesow;datelast;t50lm;date50;HS;coldstratgerm;Uncertainty
Anthyllis vulneraria;310821-12;Fellfield;2;25;6;24;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;3;25;6;24;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;4;25;5;20;2;40;20;0;0;20;0;20;24/09/2021;19/09/2022;NA;NA;NA;50;1
Anthyllis vulneraria;310821-12;Snowbed;1;25;14;56;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;2;25;5;20;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;3;25;11;44;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;4;25;10;40;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Fellfield;1;25;25;100;7;28;28;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0.985
Arenaria erinacea;300821-08;Fellfield;2;25;24;96;6;25;25;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;1.459
Arenaria erinacea;300821-08;Fellfield;3;24;23;95.83;5;21.74;21.74;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0.971
Arenaria erinacea;300821-08;Fellfield;4;25;25;100;4;16;16;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;1
Arenaria erinacea;300821-08;Snowbed;1;25;24;96;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;2;25;25;100;1;4;0;0;0;4;0;4;24/09/2021;19/09/2022;NA;NA;NA;100;0
Arenaria erinacea;300821-08;Snowbed;3;25;25;100;1;4;4;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;4;25;23;92;1;4.35;4.35;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria moehringioides;140921-02;Fellfield;1;20;19;95;9;47.37;0;0;36.84;10.53;42.11;5.26;06/10/2021;19/09/2022;NA;NA;NA;100;2.503
