species;code;incubator;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;t50lm;t50check;Env_Heat_sum1;Env_Heat_sum2;BWseedsgerm;BWgermPER;firstgerm_days;datesow;date50;onset_date
Phalacrocarpum oppositifolium;110821-02;Snowbed;61;61.00;61;100.00;NA;NA;29.25;41.02;248.13;248.13;55;90.81;14.00;10/09/2021;17/09/2021;23/09/2021
Phalacrocarpum oppositifolium;120821-05;Fellfield;7;29.17;6;87.50;NA;NA;49.50;56.04;535.25;535.25;5;75.00;38.00;10/09/2021;22/10/2021;17/10/2021
Phalacrocarpum oppositifolium;120821-05;Snowbed;17;70.83;17;100.00;6.00;38.57;135.00;140.50;329.50;329.50;11;61.43;14.00;10/09/2021;07/10/2021;23/09/2021
Phyteuma hemisphaericum;240821-10;Fellfield;77;77.75;18;23.28;NA;NA;430.00;430.00;2641.00;3500.00;1;1.39;33.00;16/09/2021;19/09/2022;18/10/2021
Phyteuma hemisphaericum;240821-10;Snowbed;74;79.12;31;40.29;0.00;0.00;357.25;358.25;1132.00;2023.75;1;1.79;13.00;16/09/2021;18/06/2022;28/09/2021
Phyteuma hemisphaericum;250821-07;Fellfield;83;83.00;33;40.32;NA;NA;430.00;430.00;2585.00;3500.00;0;0.00;217.00;20/09/2021;19/09/2022;24/04/2022
Phyteuma hemisphaericum;250821-07;Snowbed;89;89.92;24;27.01;0.00;0.00;430.00;430.00;1674.50;3500.00;0;0.00;247.00;20/09/2021;19/09/2022;24/05/2022
Phyteuma orbiculare;300921-02;Fellfield;35;68.63;7;19.87;NA;NA;430.00;430.00;2321.00;3500.00;7;19.87;216.00;13/10/2021;19/09/2022;16/05/2022
Phyteuma orbiculare;300921-02;Snowbed;28;57.92;10;35.00;0.00;0.00;430.00;430.00;1501.50;3500.00;10;35.00;218.00;13/10/2021;19/09/2022;18/05/2022
Plantago alpina;130921-08;Fellfield;54;90.00;54;100.00;NA;NA;195.00;197.00;311.50;311.50;7;12.99;14.00;04/10/2021;15/04/2022;17/10/2021
Plantago alpina;130921-08;Snowbed;46;76.67;45;98.33;3.00;5.47;232.00;234.00;187.50;187.50;1;3.70;29.04;04/10/2021;22/05/2022;01/11/2021
Plantago alpina;300821-15;Fellfield;90;90.00;90;100.00;NA;NA;157.50;159.75;379.25;379.25;35;38.26;15.00;22/09/2021;05/10/2021;06/10/2021
Plantago alpina;300821-15;Snowbed;96;96.00;96;100.00;23.00;24.15;237.25;239.75;277.75;277.75;0;0.00;232.00;22/09/2021;14/05/2022;11/05/2022
Plantago holosteum;240821-04;Fellfield;100;100.00;100;100.00;NA;NA;7.00;14.00;95.00;95.00;100;100.00;14.00;15/09/2021;21/09/2021;28/09/2021
Plantago holosteum;240821-04;Snowbed;100;100.00;100;100.00;NA;NA;7.00;14.00;69.50;69.50;100;100.00;14.00;15/09/2021;21/09/2021;28/09/2021
Plantago holosteum;250821-12;Fellfield;100;100.00;99;99.00;NA;NA;9.00;17.00;110.50;110.50;93;93.00;17.00;20/09/2021;27/09/2021;06/10/2021
Plantago holosteum;250821-12;Snowbed;100;100.00;98;98.00;1.00;1.00;10.00;17.00;82.00;82.00;87;87.00;17.00;20/09/2021;28/09/2021;06/10/2021
Ranunculus carianthiacus;310821-16;Fellfield;15;100.00;4;26.67;NA;NA;430.00;430.00;2486.00;3500.00;0;0.00;266.00;28/09/2021;19/09/2022;20/06/2022
Ranunculus carianthiacus;310821-16;Snowbed;15;100.00;0;0.00;0.00;0.00;430.00;430.00;1607.50;3500.00;0;0.00;430.00;28/09/2021;19/09/2022;01/12/2022
Salix fontqueri;140921-01;Fellfield;5;100.00;0;0.00;NA;NA;430.00;430.00;2395.00;3500.00;0;0.00;430.00;06/10/2021;19/09/2022;09/12/2022
Salix fontqueri;140921-01;Snowbed;5;100.00;0;0.00;0.00;0.00;430.00;430.00;1548.50;3500.00;0;0.00;430.00;06/10/2021;19/09/2022;09/12/2022
Saxifraga conifera;130921-09;Fellfield;61;62.38;59;96.88;NA;NA;17.25;25.28;165.13;165.13;52;84.90;14.00;04/10/2021;12/10/2021;17/10/2021
Saxifraga conifera;130921-09;Snowbed;58;58.00;41;67.99;0.00;0.00;351.75;354.50;1321.13;1805.50;3;4.56;29.04;04/10/2021;21/08/2022;01/11/2021
Saxifraga conifera;140921-08;Fellfield;31;52.72;27;88.13;NA;NA;108.00;109.03;520.17;520.17;15;48.99;25.04;08/10/2021;29/10/2021;01/11/2021
Saxifraga conifera;140921-08;Snowbed;39;65.00;27;64.81;0.00;0.00;361.67;362.67;1370.83;2026.00;3;7.14;25.04;08/10/2021;18/08/2022;01/11/2021
Saxifraga paniculata;310821-14;Fellfield;97;97.00;94;96.91;NA;NA;221.75;225.25;508.63;508.63;0;0.00;220.00;24/09/2021;29/04/2022;01/05/2022
Saxifraga paniculata;310821-14;Snowbed;89;89.00;53;57.38;0.00;0.00;320.25;323.00;827.50;1292.38;0;0.00;250.00;24/09/2021;24/06/2022;31/05/2022
Scilla verna;310821-06;Fellfield;96;96.00;10;10.57;NA;NA;430.00;430.00;2535.00;3500.00;0;0.00;360.00;24/09/2021;19/09/2022;18/09/2022
Scilla verna;310821-06;Snowbed;98;98.00;28;28.71;0.00;0.00;430.00;430.00;1640.50;3500.00;0;0.00;339.00;24/09/2021;19/09/2022;28/08/2022
Sedum anglicum;240821-09;Fellfield;95;95.00;82;86.22;NA;NA;18.75;28.01;224.00;224.00;72;75.66;13.00;16/09/2021;25/09/2021;28/09/2021
Sedum anglicum;240821-09;Snowbed;94;94.00;61;65.06;0.00;0.00;33.75;38.01;247.25;247.25;56;59.76;13.00;16/09/2021;08/10/2021;28/09/2021
Sedum anglicum;250821-09;Fellfield;76;76.00;48;64.24;NA;NA;219.00;219.01;906.00;1159.50;29;37.33;16.00;28/09/2021;08/11/2021;13/10/2021
Sedum anglicum;250821-09;Snowbed;90;90.00;40;44.30;0.00;0.00;393.00;394.00;1289.00;2792.38;25;27.31;14.00;14/10/2021;22/07/2022;27/10/2021
Sedum brevifolium;240821-11;Fellfield;89;89.00;68;76.01;NA;NA;75.25;83.50;361.88;361.88;64;71.56;13.00;16/09/2021;30/09/2021;28/09/2021
Sedum brevifolium;240821-11;Snowbed;90;94.83;65;72.33;0.00;0.00;85.00;94.75;246.00;246.00;58;64.58;13.00;16/09/2021;03/10/2021;28/09/2021
Sedum brevifolium;250821-08;Fellfield;93;93.92;24;25.29;NA;NA;430.00;430.00;2486.00;3500.00;11;11.22;16.00;28/09/2021;19/09/2022;13/10/2021
Sedum brevifolium;250821-08;Snowbed;93;93.00;20;21.55;0.00;0.00;430.00;430.00;1607.50;3500.00;4;4.19;30.00;28/09/2021;19/09/2022;27/10/2021
Sedum sp (album cf);300821-14;Fellfield;97;97.00;0;0.00;NA;NA;430.00;430.00;2560.00;3500.00;0;0.00;430.00;22/09/2021;19/09/2022;25/11/2022
Sedum sp (album cf);300821-14;Snowbed;94;94.00;0;0.00;0.00;0.00;430.00;430.00;1657.50;3500.00;0;0.00;430.00;22/09/2021;19/09/2022;25/11/2022
Sempervivum arachnoideo;230921-02;Fellfield;86;86.92;82;94.75;NA;NA;214.25;216.00;377.13;377.13;82;94.75;209.00;13/10/2021;14/05/2022;09/05/2022
